FLOWER_UNIQUE_ID,SITE,SITE_TREATMENT,POT_NUMBER,PLANT_NUMBER,FLOWER_TREATMENT,SEEDS_PRODUCED,PL_INDEX,DATE_PLACED_AT_SITE,DATE_RETURNED,DATE_FLOWER_OPEN_CONFIRMED,DATE_POLLEN_APPLIED,BOTH_FLOWERS_OPEN,NOTES
275,oak meadows,treatment,35,2,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
276,oak meadows,treatment,35,2,treatment,60,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
277,oak meadows,treatment,35,3,control,14,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
278,oak meadows,treatment,35,3,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
279,oak meadows,treatment,35,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
280,oak meadows,treatment,35,4,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
281,oak meadows,treatment,36,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
282,oak meadows,treatment,36,1,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
283,oak meadows,treatment,36,2,control,,0,6.30.2022,7.7.2022,7.1.2022,,Y,
284,oak meadows,treatment,36,2,treatment,60,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,CLOSED 7.5
285,oak meadows,treatment,36,3,control,6,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
286,oak meadows,treatment,36,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
287,oak meadows,treatment,36,4,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
288,oak meadows,treatment,36,4,treatment,42,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
289,bobolink,control,37,1,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
290,bobolink,control,37,1,treatment,,,6.30.2022,7.7.2022,,,N,
291,bobolink,control,37,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,N,
292,bobolink,control,37,2,treatment,,,6.30.2022,7.7.2022,,,N,
293,bobolink,control,37,3,control,17,0.184782609,6.30.2022,7.7.2022,7.6.2022,,Y,
294,bobolink,control,37,3,treatment,92,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
295,bobolink,control,37,4,control,95,#DIV/0!,6.30.2022,7.7.2022,,,N,
296,bobolink,control,37,4,treatment,,,6.30.2022,7.7.2022,,,N,
297,bobolink,control,38,1,control,30,0.535714286,6.30.2022,7.7.2022,7.6.2022,,Y,
298,bobolink,control,38,1,treatment,56,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
299,bobolink,control,38,2,control,29,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,N,
300,bobolink,control,38,2,treatment,,,6.30.2022,7.7.2022,,,N,
301,bobolink,control,38,3,control,10,#DIV/0!,6.30.2022,7.7.2022,,,N,
302,bobolink,control,38,3,treatment,,,6.30.2022,7.7.2022,7.6.2022,,N,
303,bobolink,control,38,4,control,27,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,N,
304,bobolink,control,38,4,treatment,,,6.30.2022,7.7.2022,,,N,
305,bobolink,control,39,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
306,bobolink,control,39,1,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
307,bobolink,control,39,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
308,bobolink,control,39,2,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
309,bobolink,control,39,3,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
310,bobolink,control,39,3,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
311,bobolink,control,39,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
312,bobolink,control,39,4,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
313,bobolink,control,40,1,control,87,1.023529412,6.30.2022,7.7.2022,7.1.2022,,Y,
314,bobolink,control,40,1,treatment,85,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
315,bobolink,control,40,2,control,21,0.247058824,6.30.2022,7.7.2022,7.1.2022,,Y,
316,bobolink,control,40,2,treatment,85,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
317,bobolink,control,40,3,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
318,bobolink,control,40,3,treatment,,,6.30.2022,7.7.2022,7.8.2022,7.8.2022,Y,
319,bobolink,control,40,4,control,19,0.612903226,6.30.2022,7.7.2022,7.6.2022,,Y,
320,bobolink,control,40,4,treatment,31,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
321,bobolink,control,41,1,control,42,0.68852459,6.30.2022,7.7.2022,7.6.2022,,N,
322,bobolink,control,41,1,treatment,61,,6.30.2022,7.7.2022,,,N,
323,bobolink,control,41,2,control,28,0.651162791,6.30.2022,7.7.2022,7.6.2022,,N,
324,bobolink,control,41,2,treatment,43,,6.30.2022,7.7.2022,,,N,
325,bobolink,control,41,3,control,86,#DIV/0!,6.30.2022,7.7.2022,,,N,
326,bobolink,control,41,3,treatment,,,6.30.2022,7.7.2022,7.6.2022,,N,
327,bobolink,control,41,4,control,,0,6.30.2022,7.7.2022,,,N,
328,bobolink,control,41,4,treatment,31,,6.30.2022,7.7.2022,7.6.2022,,N,
329,bobolink,control,42,1,control,73,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
330,bobolink,control,42,1,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
331,bobolink,control,42,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
332,bobolink,control,42,2,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
333,bobolink,control,42,3,control,,0,6.30.2022,7.7.2022,7.1.2022,,Y,
334,bobolink,control,42,3,treatment,88,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
335,bobolink,control,42,4,control,,0,6.30.2022,7.7.2022,7.1.2022,,Y,
336,bobolink,control,42,4,treatment,67,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
337,falaise,treatment,43,1,control,21,0.403846154,6.30.2022,7.7.2022,,,N,
338,falaise,treatment,43,1,treatment,52,,6.30.2022,7.7.2022,,,N,
339,falaise,treatment,43,2,control,55,13.75,6.30.2022,7.7.2022,,,N,
340,falaise,treatment,43,2,treatment,4,,6.30.2022,7.7.2022,,,N,
341,falaise,treatment,43,3,control,35,1.944444444,6.30.2022,7.7.2022,,,N,
342,falaise,treatment,43,3,treatment,18,,6.30.2022,7.7.2022,,,N,
343,falaise,treatment,43,4,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
344,falaise,treatment,43,4,treatment,,,6.30.2022,7.7.2022,,,N,
345,falaise,treatment,44,1,control,91,3.956521739,6.30.2022,7.7.2022,7.6.2022,,Y,
346,falaise,treatment,44,1,treatment,23,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
347,falaise,treatment,44,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
348,falaise,treatment,44,2,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
349,falaise,treatment,44,3,control,14,0.114754098,6.30.2022,7.7.2022,7.6.2022,,Y,
350,falaise,treatment,44,3,treatment,122,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
351,falaise,treatment,44,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
352,falaise,treatment,44,4,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
353,falaise,treatment,45,1,control,,0,6.30.2022,7.7.2022,7.1.2022,,Y,
354,falaise,treatment,45,1,treatment,56,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
355,falaise,treatment,45,2,control,40,0.303030303,6.30.2022,7.7.2022,7.1.2022,,Y,
356,falaise,treatment,45,2,treatment,132,,6.30.2022,7.7.2022,7.8.2022,7.8.2022,Y,
357,falaise,treatment,45,3,control,12,0.181818182,6.30.2022,7.7.2022,7.6.2022,,Y,
358,falaise,treatment,45,3,treatment,66,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
359,falaise,treatment,45,4,control,30,0.288461538,6.30.2022,7.7.2022,7.1.2022,,Y,
360,falaise,treatment,45,4,treatment,104,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
361,falaise,treatment,46,1,control,88,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
362,falaise,treatment,46,1,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
363,falaise,treatment,46,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
364,falaise,treatment,46,2,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
365,falaise,treatment,46,3,control,49,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
366,falaise,treatment,46,3,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
367,falaise,treatment,46,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
368,falaise,treatment,46,4,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
369,falaise,treatment,47,1,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
370,falaise,treatment,47,1,treatment,,,6.30.2022,7.7.2022,7.6.2022,,N,
371,falaise,treatment,47,2,control,,0,6.30.2022,7.7.2022,,,N,
372,falaise,treatment,47,2,treatment,116,,6.30.2022,7.7.2022,,,N,
373,falaise,treatment,47,3,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
374,falaise,treatment,47,3,treatment,,,6.30.2022,7.7.2022,,,N,
375,falaise,treatment,47,4,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
376,falaise,treatment,47,4,treatment,,,6.30.2022,7.7.2022,,,N,
377,falaise,treatment,48,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
378,falaise,treatment,48,1,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
379,falaise,treatment,48,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
380,falaise,treatment,48,2,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
381,falaise,treatment,48,3,control,,0,6.30.2022,7.7.2022,7.6.2022,,Y,
382,falaise,treatment,48,3,treatment,95,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
383,falaise,treatment,48,4,control,93,1.148148148,6.30.2022,7.7.2022,7.1.2022,,Y,
384,falaise,treatment,48,4,treatment,81,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
385,moberly,control,49,1,control,,0,6.30.2022,7.7.2022,,,N,
386,moberly,control,49,1,treatment,11,,6.30.2022,7.7.2022,,,N,
387,moberly,control,49,2,control,,0,6.30.2022,7.7.2022,,,N,
388,moberly,control,49,2,treatment,36,,6.30.2022,7.7.2022,,,N,
389,moberly,control,49,3,control,28,0.538461538,6.30.2022,7.7.2022,,,N,
390,moberly,control,49,3,treatment,52,,6.30.2022,7.7.2022,,,N,
391,moberly,control,49,4,control,106,#DIV/0!,6.30.2022,7.7.2022,,,N,
392,moberly,control,49,4,treatment,,,6.30.2022,7.7.2022,7.7.2022,,N,
393,moberly,control,50,1,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
394,moberly,control,50,1,treatment,81,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
395,moberly,control,50,2,control,64,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
396,moberly,control,50,2,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
397,moberly,control,50,3,control,109,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
398,moberly,control,50,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
399,moberly,control,50,4,control,47,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
400,moberly,control,50,4,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
401,moberly,control,51,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
402,moberly,control,51,1,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
403,moberly,control,51,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
404,moberly,control,51,2,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
405,moberly,control,51,3,control,59,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
406,moberly,control,51,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
407,moberly,control,51,4,control,106,0.963636364,6.30.2022,7.7.2022,7.1.2022,,Y,
408,moberly,control,51,4,treatment,110,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
409,moberly,control,52,1,control,29,0.308510638,6.30.2022,7.7.2022,7.5.2022,,Y,
410,moberly,control,52,1,treatment,94,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
411,moberly,control,52,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
412,moberly,control,52,2,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
413,moberly,control,52,3,control,109,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
414,moberly,control,52,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
415,moberly,control,52,4,control,39,0.565217391,6.30.2022,7.7.2022,7.5.2022,,Y,
416,moberly,control,52,4,treatment,69,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
417,moberly,control,53,1,control,,0,6.30.2022,7.7.2022,7.1.2022,,Y,
418,moberly,control,53,1,treatment,86,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
419,moberly,control,53,2,control,58,1.526315789,6.30.2022,7.7.2022,7.5.2022,,Y,
420,moberly,control,53,2,treatment,38,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
421,moberly,control,53,3,control,93,1.1625,6.30.2022,7.7.2022,7.5.2022,,Y,
422,moberly,control,53,3,treatment,80,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
423,moberly,control,53,4,control,,0,6.30.2022,7.7.2022,7.1.2022,,Y,
424,moberly,control,53,4,treatment,94,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
425,moberly,control,54,1,control,54,1.102040816,6.30.2022,7.7.2022,,,N,
426,moberly,control,54,1,treatment,49,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,N,
427,moberly,control,54,2,control,56,1.513513514,6.30.2022,7.7.2022,7.1.2022,,Y,
428,moberly,control,54,2,treatment,37,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
429,moberly,control,54,3,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
430,moberly,control,54,3,treatment,49,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
431,moberly,control,54,4,control,103,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
432,moberly,control,54,4,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
433,kensington,control,55,1,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
434,kensington,control,55,1,treatment,107,,6.30.2022,7.7.2022,7.7.2022,7.7.2022,Y,
435,kensington,control,55,2,control,2,0.024691358,6.30.2022,7.7.2022,7.5.2022,,Y,
436,kensington,control,55,2,treatment,81,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
437,kensington,control,55,3,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
438,kensington,control,55,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
439,kensington,control,55,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
440,kensington,control,55,4,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
441,kensington,control,56,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
442,kensington,control,56,1,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
443,kensington,control,56,2,control,0,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
444,kensington,control,56,2,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
445,kensington,control,56,3,control,12,0.12371134,6.30.2022,7.7.2022,7.5.2022,,Y,
446,kensington,control,56,3,treatment,97,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
447,kensington,control,56,4,control,95,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
448,kensington,control,56,4,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
449,kensington,control,57,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
450,kensington,control,57,1,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
451,kensington,control,57,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
452,kensington,control,57,2,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
453,kensington,control,57,3,control,1,0.009259259,6.30.2022,7.7.2022,7.5.2022,,Y,
454,kensington,control,57,3,treatment,108,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
455,kensington,control,57,4,control,29,0.287128713,6.30.2022,7.7.2022,7.5.2022,,Y,
456,kensington,control,57,4,treatment,101,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
457,kensington,control,58,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
458,kensington,control,58,1,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
459,kensington,control,58,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
460,kensington,control,58,2,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
461,kensington,control,58,3,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
462,kensington,control,58,3,treatment,67,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
463,kensington,control,58,4,control,0,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
464,kensington,control,58,4,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
465,kensington,control,59,1,control,22,#DIV/0!,6.30.2022,7.7.2022,,,N,
466,kensington,control,59,1,treatment,,,6.30.2022,7.7.2022,,,N,
467,kensington,control,59,2,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
468,kensington,control,59,2,treatment,,,6.30.2022,7.7.2022,,,N,
469,kensington,control,59,3,control,44,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
470,kensington,control,59,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
471,kensington,control,59,4,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
472,kensington,control,59,4,treatment,37,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
473,kensington,control,60,1,control,,0,6.30.2022,7.7.2022,7.5.2022,,N,
474,kensington,control,60,1,treatment,85,,6.30.2022,7.7.2022,7.5.2022,,N,PLANT STEM BROKE
475,kensington,control,60,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
476,kensington,control,60,2,treatment,,,6.30.2022,7.7.2022,7.8.2022,7.8.2022,Y,
477,kensington,control,60,3,control,27,0.402985075,6.30.2022,7.7.2022,7.5.2022,,Y,
478,kensington,control,60,3,treatment,67,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
479,kensington,control,60,4,control,74,0.573643411,6.30.2022,7.7.2022,7.5.2022,,Y,
480,kensington,control,60,4,treatment,129,,6.30.2022,7.7.2022,7.9.2022,7.9.2022,Y,"ORIGNINAL 4T SPLIT, TRY TO CHOOSE NEW TREAT FLOWER?"
481,killarney,treatment,61,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
482,killarney,treatment,61,1,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
483,killarney,treatment,61,2,control,4,0.054794521,6.30.2022,7.7.2022,7.6.2022,,Y,
484,killarney,treatment,61,2,treatment,73,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
485,killarney,treatment,61,3,control,1,0.009433962,6.30.2022,7.7.2022,7.1.2022,,Y,
486,killarney,treatment,61,3,treatment,106,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
487,killarney,treatment,61,4,control,,0,6.30.2022,7.7.2022,7.6.2022,,Y,
488,killarney,treatment,61,4,treatment,85,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
489,killarney,treatment,62,1,control,32,0.367816092,6.30.2022,7.7.2022,7.1.2022,,Y,
490,killarney,treatment,62,1,treatment,87,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
491,killarney,treatment,62,2,control,94,0.969072165,6.30.2022,7.7.2022,7.1.2022,,Y,
492,killarney,treatment,62,2,treatment,97,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
493,killarney,treatment,62,3,control,63,0.797468354,6.30.2022,7.7.2022,7.6.2022,,Y,
494,killarney,treatment,62,3,treatment,79,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
495,killarney,treatment,62,4,control,44,0.647058824,6.30.2022,7.7.2022,7.6.2022,,Y,
496,killarney,treatment,62,4,treatment,68,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
497,killarney,treatment,63,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
498,killarney,treatment,63,1,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
499,killarney,treatment,63,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
500,killarney,treatment,63,2,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
501,killarney,treatment,63,3,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
502,killarney,treatment,63,3,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
503,killarney,treatment,63,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
504,killarney,treatment,63,4,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
505,killarney,treatment,64,1,control,26,0.222222222,6.30.2022,7.7.2022,7.1.2022,,Y,
506,killarney,treatment,64,1,treatment,117,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,NOT QUITE OPEN
507,killarney,treatment,64,2,control,114,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
508,killarney,treatment,64,2,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
509,killarney,treatment,64,3,control,33,0.38372093,6.30.2022,7.7.2022,7.1.2022,,Y,
510,killarney,treatment,64,3,treatment,86,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
511,killarney,treatment,64,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
512,killarney,treatment,64,4,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
513,killarney,treatment,65,1,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
514,killarney,treatment,65,1,treatment,,,6.30.2022,7.7.2022,,,N,
515,killarney,treatment,65,2,control,2,#DIV/0!,6.30.2022,7.7.2022,,,N,
516,killarney,treatment,65,2,treatment,,,6.30.2022,7.7.2022,,,N,
517,killarney,treatment,65,3,control,25,0.316455696,6.30.2022,7.7.2022,,,N,
518,killarney,treatment,65,3,treatment,79,,6.30.2022,7.7.2022,,,N,
519,killarney,treatment,65,4,control,91,0.8125,6.30.2022,7.7.2022,,,N,
520,killarney,treatment,65,4,treatment,112,,6.30.2022,7.7.2022,,,N,
521,killarney,treatment,66,1,control,78,0.857142857,6.30.2022,7.7.2022,,,N,
522,killarney,treatment,66,1,treatment,91,,6.30.2022,7.7.2022,,,N,
523,killarney,treatment,66,2,control,67,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
524,killarney,treatment,66,2,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
525,killarney,treatment,66,3,control,38,#DIV/0!,6.30.2022,7.7.2022,7.6.2022,,Y,
526,killarney,treatment,66,3,treatment,,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
527,killarney,treatment,66,4,control,78,0.886363636,6.30.2022,7.7.2022,7.1.2022,,Y,
528,killarney,treatment,66,4,treatment,88,,6.30.2022,7.7.2022,7.6.2022,7.6.2022,Y,
